Crop,Global_Production,Severe_Stress_Production,Production_Exposed_%,Water_Data_Coverage_%,India_Pakistan_Production,India_Pakistan_Global_Share_%
Sugar cane,2437117642.74,580884685.09,23.83490541871929,78.73928492973953,527406025.0,21.64056489316817
Rice,1335459962.79,222129455.39,16.633179696824026,58.1059288171279,204456370.35,15.30980905806089
Potatoes,743766179.56,100165774.84,13.467374235711613,49.83768455017488,64112884.0,8.620032177038238
Wheat,1498603827.65,188742839.83,12.594578790444743,52.59800607850129,133950742.0,8.938369135894419
Maize (corn),1850276077.3400002,73068445.83999999,3.949056399466878,62.17654298346093,45707166.26,2.470288991992464
