Country,Crop,Production,Global_Production_Share_%,Water_Stress,Agriculture_Withdrawal_Share,Risk_Category,Hotspot_Score
Benin,Maize (corn),1619605.06,0.08753315679941027,0.975243811,25.21367521,Lower water stress,0.0002152394869826915
Benin,Potatoes,276.04,3.711381447369667e-05,0.975243811,25.21367521,Lower water stress,9.126094247457873e-08
Benin,Rice,525014.19,0.03931336053708096,0.975243811,25.21367521,Lower water stress,9.666951202225923e-05
Benin,Sugar cane,75500.0,0.003097921851450591,0.975243811,25.21367521,Lower water stress,7.6176289579811806e-06
Bhutan,Maize (corn),25981.09,0.0014041736970058553,1.413807531,94.08284024,Lower water stress,1.8677620372124068e-05
Bhutan,Potatoes,31145.61,0.004187553945841587,1.413807531,94.08284024,Lower water stress,5.570076056473319e-05
Bhutan,Rice,41049.13,0.003073782153247146,1.413807531,94.08284024,Lower water stress,4.088592193927193e-05
Bhutan,Sugar cane,307.7,1.2625570247567506e-05,1.413807531,94.08284024,Lower water stress,1.6793905808696189e-07
Bhutan,Wheat,769.78,5.136647763719596e-05,1.413807531,94.08284024,Lower water stress,6.832513464726622e-07
Bolivia (Plurinational State of),Maize (corn),985620.8,0.05326885063643861,0.202979589,87.07838123,Lower water stress,9.415340747749575e-05
Bolivia (Plurinational State of),Potatoes,1243912.95,0.16724516174369192,0.202979589,87.07838123,Lower water stress,0.0002956080650165551
Bolivia (Plurinational State of),Rice,608680.66,0.045578353298466844,0.202979589,87.07838123,Lower water stress,8.056035035470249e-05
Bolivia (Plurinational State of),Sugar cane,9659111.34,0.3963334051096715,0.202979589,87.07838123,Lower water stress,0.0007005246057009564
Bolivia (Plurinational State of),Wheat,310729.65,0.020734609392214307,0.202979589,87.07838123,Lower water stress,3.6648700012619314e-05
Bosnia and Herzegovina,Maize (corn),987215.0,0.053355010751651895,2.071713147,,Lower water stress,
Bosnia and Herzegovina,Potatoes,286372.0,0.03850296072475533,2.071713147,,Lower water stress,
Bosnia and Herzegovina,Wheat,281414.0,0.01877841193301185,2.071713147,,Lower water stress,
Botswana,Maize (corn),29782.35,0.001609616552077774,2.230009819,27.97257339,Lower water stress,1.0040645330766721e-05
Botswana,Potatoes,3393.55,0.0004562657046341593,2.230009819,27.97257339,Lower water stress,2.8461450094498053e-06
Botswana,Wheat,2860.0,0.00019084430102416332,2.230009819,27.97257339,Lower water stress,1.1904698280520145e-06
Brazil,Maize (corn),109741957.0,5.931112569847824,1.495816821,60.84191934,Lower water stress,0.05397808657425582
Brazil,Potatoes,3926076.0,0.527864281530333,1.495816821,60.84191934,Lower water stress,0.0048040065927517405
Brazil,Rice,10773990.0,0.8067624863489975,1.495816821,60.84191934,Lower water stress,0.007342213593178418
Brazil,Sugar cane,725729052.0,29.77817070759367,1.495816821,60.84191934,Lower water stress,0.2710062669605849
Brazil,Wheat,10343182.0,0.690187880823674,1.495816821,60.84191934,Lower water stress,0.006281287152261603
Brunei Darussalam,Rice,3562.6,0.0002667695100762984,3.466465712,5.760869565,Lower water stress,5.327348919732222e-07
Brunei Darussalam,Sugar cane,81.18,3.3309840516656817e-06,3.466465712,5.760869565,Lower water stress,6.651927457606049e-09
Bulgaria,Maize (corn),2554370.0,0.138053452200075,40.23530092,13.34513986,Water stressed,0.0074127210025901535
Bulgaria,Potatoes,172210.0,0.02315378202621107,40.23530092,13.34513986,Water stressed,0.0012432324116484206
Bulgaria,Rice,64320.0,0.004816318107030684,40.23530092,13.34513986,Water stressed,0.000258610138451302
Bulgaria,Wheat,6447770.0,0.43025180378131805,40.23530092,13.34513986,Water stressed,0.0231021863739409
Burkina Faso,Maize (corn),1810276.28,0.09783817140426392,7.820267686,51.43031785,Lower water stress,0.0039350400295230965
Burkina Faso,Potatoes,34185.19,0.004596228080742178,7.820267686,51.43031785,Lower water stress,0.00018485976611118838
Burkina Faso,Rice,438982.38,0.03287124977396493,7.820267686,51.43031785,Lower water stress,0.0013220778947976824
Burkina Faso,Sugar cane,511397.47,0.020983700623702622,7.820267686,51.43031785,Lower water stress,0.0008439620317576786
Burundi,Maize (corn),781721.0,0.04224888434615769,10.19286754,79.25740807,Lower water stress,0.0034131194777991896
Burundi,Potatoes,423241.0,0.05690511502558271,10.19286754,79.25740807,Lower water stress,0.004597138113491588
Burundi,Rice,115000.0,0.008611265272209711,10.19286754,79.25740807,Lower water stress,0.0006956699019141717
Burundi,Sugar cane,193892.0,0.007955791571145138,10.19286754,79.25740807,Lower water stress,0.0006427167863251661
Burundi,Wheat,9608.0,0.0006411300853986578,10.19286754,79.25740807,Lower water stress,5.179435187798578e-05
Cabo Verde,Maize (corn),221.6,1.1976591099776705e-05,59.68371,38.99022186,Severe water stress,2.787049872278617e-06
Cabo Verde,Potatoes,4031.0,0.0005419714032150097,59.68371,38.99022186,Severe water stress,0.00012612114060880125
Cabo Verde,Sugar cane,22930.0,0.0009408655371359213,59.68371,38.99022186,Severe water stress,0.00021894704037736678
Cambodia,Maize (corn),1163000.0,0.06285548487834074,1.036544851,94.0018315,Lower water stress,0.0006124457072385974
Cambodia,Rice,11851700.0,0.887462022840416,1.036544851,94.0018315,Lower water stress,0.00864717386681375
Cambodia,Sugar cane,639011.11,0.02621995339057877,1.036544851,94.0018315,Lower water stress,0.0002554796598759447
Cameroon,Maize (corn),2200000.0,0.11890117517828859,1.560430108,67.71407571,Lower water stress,0.0012563464679032881
Cameroon,Potatoes,372336.53,0.05006096542602519,1.560430108,67.71407571,Lower water stress,0.0005289595918501893
Cameroon,Rice,343100.0,0.02569152273821871,1.560430108,67.71407571,Lower water stress,0.0002714645485952436
Cameroon,Sugar cane,1100000.0,0.04513528525292252,1.560430108,67.71407571,Lower water stress,0.0004769133368134367
Cameroon,Wheat,596.3,3.979036947577223e-05,1.560430108,67.71407571,Lower water stress,4.204373091560625e-07
Canada,Maize (corn),14538878.0,0.7857680363517118,3.720700309,10.69419426,Lower water stress,0.0031265625215235525
Canada,Potatoes,6275106.0,0.8436933773611824,3.720700309,10.69419426,Lower water stress,0.0033570468271559824
Canada,Wheat,34872782.0,2.327018078866442,3.720700309,10.69419426,Lower water stress,0.009259179777879122
Central African Republic,Maize (corn),214384.0,0.011586595245191919,0.335648148,0.551724138,Lower water stress,2.145665785467807e-07
Central African Republic,Potatoes,1393.62,0.00018737340286492229,0.335648148,0.551724138,Lower water stress,3.469877829734096e-09
Central African Republic,Rice,51773.0,0.0038767916255488116,0.335648148,0.551724138,Lower water stress,7.179243748744952e-08
Central African Republic,Sugar cane,125503.34,0.005149662773722291,0.335648148,0.551724138,Lower water stress,9.536412540913044e-08
Chad,Maize (corn),363985.0,0.01967192920330426,4.294921875,76.4211005,Lower water stress,0.0006456772856651259
Chad,Potatoes,35617.4,0.004788789942165786,4.294921875,76.4211005,Lower water stress,0.00015717893550362615
Chad,Rice,231965.0,0.01736967085972283,4.294921875,76.4211005,Lower water stress,0.0005701119507749486
Chad,Sugar cane,300872.0,0.012345403222379368,4.294921875,76.4211005,Lower water stress,0.0004052041038114609
Chad,Wheat,1205.0,8.040817578115972e-05,4.294921875,76.4211005,Lower water stress,2.6391785039030635e-06
Chile,Maize (corn),608005.91,0.032860280551974895,8.982121089,90.88662342,Lower water stress,0.0026825643056591036
Chile,Potatoes,1024511.41,0.13774643673715903,8.982121089,90.88662342,Lower water stress,0.011244994510572582
Chile,Rice,100557.0,0.007529765234587756,8.982121089,90.88662342,Lower water stress,0.0006146958914836168
Chile,Wheat,1106926.47,0.07386384910919389,8.982121089,90.88662342,Lower water stress,0.006029909719897539
